GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54591.1,A0A0H2ZN38,A0A0H2ZN38_STRP2
,ABJ54236.1,A0A0H2ZN39,A0A0H2ZN39_STRP2
,ABJ54040.1,A0A0H2ZN40,A0A0H2ZN40_STRP2
,ABJ54438.1,A0A0H2ZN41,A0A0H2ZN41_STRP2
,ABJ54243.1,A0A0H2ZN43,A0A0H2ZN43_STRP2
,ABJ54596.1,A0A0H2ZN44,A0A0H2ZN44_STRP2
,ABJ54444.1,A0A0H2ZN45,A0A0H2ZN45_STRP2
,ABJ54046.1,A0A0H2ZN46,A0A0H2ZN46_STRP2
,ABJ53958.1,A0A0H2ZN47,A0A0H2ZN47_STRP2
,ABJ54449.1,A0A0H2ZN48,A0A0H2ZN48_STRP2
,ABJ54249.1,A0A0H2ZN49,A0A0H2ZN49_STRP2
,ABJ53964.1,A0A0H2ZN52,A0A0H2ZN52_STRP2
,ABJ54059.1,A0A0H2ZN55,A0A0H2ZN55_STRP2
,ABJ54608.1,A0A0H2ZN56,A0A0H2ZN56_STRP2
,ABJ53969.1,A0A0H2ZN57,A0A0H2ZN57_STRP2
,ABJ54461.1,A0A0H2ZN58,A0A0H2ZN58_STRP2
,ABJ54613.1,A0A0H2ZN60,A0A0H2ZN60_STRP2
,ABJ54260.1,A0A0H2ZN61,A0A0H2ZN61_STRP2
,ABJ53974.1,A0A0H2ZN62,A0A0H2ZN62_STRP2
,ABJ54466.1,A0A0H2ZN63,A0A0H2ZN63_STRP2
,ABJ54618.1,A0A0H2ZN65,A0A0H2ZN65_STRP2
,ABJ53980.1,A0A0H2ZN66,A0A0H2ZN66_STRP2
,ABJ54473.1,A0A0H2ZN67,A0A0H2ZN67_STRP2
,ABJ54268.1,A0A0H2ZN68,A0A0H2ZN68_STRP2
,ABJ54625.1,A0A0H2ZN70,A0A0H2ZN70_STRP2
,ABJ54479.1,A0A0H2ZN71,A0A0H2ZN71_STRP2
,ABJ53987.1,A0A0H2ZN72,A0A0H2ZN72_STRP2
,ABJ54274.1,A0A0H2ZN73,A0A0H2ZN73_STRP2
,ABJ54487.1,A0A0H2ZN76,A0A0H2ZN76_STRP2
,ABJ54494.1,A0A0H2ZN78,A0A0H2ZN78_STRP2
,ABJ54096.1,A0A0H2ZN79,A0A0H2ZN79_STRP2
,ABJ53997.1,A0A0H2ZN80,A0A0H2ZN80_STRP2
,ABJ54500.1,A0A0H2ZN82,A0A0H2ZN82_STRP2
,ABJ54101.1,A0A0H2ZN83,A0A0H2ZN83_STRP2
,ABJ54005.1,A0A0H2ZN84,A0A0H2ZN84_STRP2
,ABJ54646.1,A0A0H2ZN85,A0A0H2ZN85_STRP2
,ABJ54505.1,A0A0H2ZN86,A0A0H2ZN86_STRP2
,ABJ54107.1,A0A0H2ZN87,A0A0H2ZN87_STRP2
,ABJ54651.1,A0A0H2ZN89,A0A0H2ZN89_STRP2
,ABJ54511.1,A0A0H2ZN90,A0A0H2ZN90_STRP2
,ABJ54113.1,A0A0H2ZN91,A0A0H2ZN91_STRP2
,ABJ54016.1,A0A0H2ZN92,A0A0H2ZN92_STRP2
,ABJ54657.1,A0A0H2ZN93,A0A0H2ZN93_STRP2
,ABJ54517.1,A0A0H2ZN94,A0A0H2ZN94_STRP2
,ABJ54119.1,A0A0H2ZN95,A0A0H2ZN95_STRP2
,ABJ54022.1,A0A0H2ZN96,A0A0H2ZN96_STRP2
,ABJ54662.1,A0A0H2ZN98,A0A0H2ZN98_STRP2
,ABJ54030.1,A0A0H2ZN99,A0A0H2ZN99_STRP2
,ABJ54124.1,A0A0H2ZNA0,A0A0H2ZNA0_STRP2
,ABJ54667.1,A0A0H2ZNA1,A0A0H2ZNA1_STRP2
,ABJ54531.1,A0A0H2ZNA2,A0A0H2ZNA2_STRP2
,ABJ54131.1,A0A0H2ZNA4,A0A0H2ZNA4_STRP2
,ABJ54279.1,A0A0H2ZNA5,A0A0H2ZNA5_STRP2
,ABJ54673.1,A0A0H2ZNA6,A0A0H2ZNA6_STRP2
,ABJ54537.1,A0A0H2ZNA7,A0A0H2ZNA7_STRP2
,ABJ54042.1,A0A0H2ZNA8,A0A0H2ZNA8_STRP2
,ABJ54285.1,A0A0H2ZNA9,A0A0H2ZNA9_STRP2
,ABJ54136.1,A0A0H2ZNB0,A0A0H2ZNB0_STRP2
,ABJ54679.1,A0A0H2ZNB1,A0A0H2ZNB1_STRP2
,ABJ54290.1,A0A0H2ZNB2,A0A0H2ZNB2_STRP2
,ABJ54542.1,A0A0H2ZNB3,A0A0H2ZNB3_STRP2
,ABJ54049.1,A0A0H2ZNB4,A0A0H2ZNB4_STRP2
,ABJ54144.1,A0A0H2ZNB5,A0A0H2ZNB5_STRP2
,ABJ54548.1,A0A0H2ZNB7,A0A0H2ZNB7_STRP2
